orden;id_esta;id_path;nom_esta;long;lat;cant
1;BT_102;BT_102_BT_102;PLAZA VICENTE LOPEZ;-58,3889488675196;-34,5931772798824;17375
2;BT_102;BT_102_BT_102;PLAZA VICENTE LOPEZ;-58,3889488675196;-34,5931772798824;17375
1;BT_102;BT_102_BT_107;PLAZA VICENTE LOPEZ;-58,3889488675196;-34,5931772798824;11353
2;BT_107;BT_102_BT_107;RETIRO;-58,3748217877563;-34,5925888097729;11353
1;BT_102;BT_102_BT_127;PLAZA VICENTE LOPEZ;-58,3889488675196;-34,5931772798824;12546
2;BT_127;BT_102_BT_127;PARQUE LAS HERAS;-58,4071446712567;-34,5839145725724;12546
1;BT_102;BT_102_BT_129;PLAZA VICENTE LOPEZ;-58,3889488675196;-34,5931772798824;10008
2;BT_129;BT_102_BT_129;DERECHO;-58,392452073017;-34,5831330757635;10008
1;BT_107;BT_107_BT_107;RETIRO;-58,3748217877563;-34,5925888097729;23439
2;BT_107;BT_107_BT_107;RETIRO;-58,3748217877563;-34,5925888097729;23439
1;BT_107;BT_107_BT_127;RETIRO;-58,3748217877563;-34,5925888097729;23969
2;BT_127;BT_107_BT_127;PARQUE LAS HERAS;-58,4071446712567;-34,5839145725724;23969
1;BT_107;BT_107_BT_129;RETIRO;-58,3748217877563;-34,5925888097729;33945
2;BT_129;BT_107_BT_129;DERECHO;-58,392452073017;-34,5831330757635;33945
1;BT_107;BT_107_BT_133;RETIRO;-58,3748217877563;-34,5925888097729;16569
2;BT_133;BT_107_BT_133;PLAZA ITALIA;-58,420997041078;-34,5801273443074;16569
1;BT_107;BT_107_BT_136;RETIRO;-58,3748217877563;-34,5925888097729;17370
2;BT_136;BT_107_BT_136;PACIFICO;-58,4263198647396;-34,5777874974914;17370
1;BT_107;BT_107_BT_14;RETIRO;-58,3748217877563;-34,5925888097729;11361
2;BT_14 ;BT_107_BT_14;PARQUE LEZAMA;-58,3693603511372;-34,6279470454629;11361
1;BT_107;BT_107_BT_157;RETIRO;-58,3748217877563;-34,5925888097729;14165
2;BT_157;BT_107_BT_157;EMMA DE LA BARRA;-58,368876;-34,600418;14165
1;BT_107;BT_107_BT_32;RETIRO;-58,3748217877563;-34,5925888097729;36848
2;BT_32 ;BT_107_BT_32;UCA PUERTO MADERO;-58,3657458611297;-34,6155514279975;36848
1;BT_107;BT_107_BT_38;RETIRO;-58,3748217877563;-34,5925888097729;11213
2;BT_38 ;BT_107_BT_38;PZA, DE MAYO;-58,3989047029342;-34,6121235856114;11213
