edad,cantidad
16,1921
17,4286
18,9532
19,16827
20,21390
21,23221
22,30306
23,31843
24,33660
25,35613
26,36572
27,35442
28,34227
29,32445
30,28548
31,27137
32,22222
33,22343
34,19809
35,18229
36,18003
37,16039
38,14810
39,14307
40,13401
41,12206
42,12933
43,11653
44,10008
45,10907
46,10679
47,10065
48,7786
49,7484
50,7523
51,7061
52,6350
53,5339
54,6315
55,5302
56,4808
57,3949
58,3377
59,3074
60,2031
61,2292
62,2309
63,1180
64,2071
65,1163
66,1166
67,1027
68,814
69,593
70,339
71,601
72,394
73,355
74,318
75,301
76,130
77,77
78,176
79,8
80,62
81,31
82,7
83,116
84,1
85,4
87,1
88,1
89,7
90,10
91,4
