fecha;dia;hora;grados;cantidad
20110401;5;16;16;132
20110401;5;17;22;171
20110401;5;18;21;148
20110401;5;19;19;39
20110404;1;6;13;1
20110404;1;7;13;2
20110404;1;8;14;114
20110404;1;9;15;88
20110404;1;10;16;79
20110404;1;11;17;85
20110404;1;12;18;83
20110404;1;13;18;121
20110404;1;14;18;94
20110404;1;15;18;110
20110404;1;16;19;122
20110404;1;17;18;163
20110404;1;18;17;183
20110404;1;19;17;43
20110405;2;7;13;4
20110405;2;8;14;113
20110405;2;9;15;107
20110405;2;10;17;85
20110405;2;11;17;97
20110405;2;12;18;93
20110405;2;13;19;157
20110405;2;14;19;115
20110405;2;15;19;120
20110405;2;16;26;105
20110405;2;17;20;148
20110405;2;18;19;187
20110405;2;19;19;67
20110406;3;7;14;5
20110406;3;8;14;114
20110406;3;9;15;106
20110406;3;10;16;77
20110406;3;11;17;121
20110406;3;12;21;120
20110406;3;13;22;138
20110406;3;14;23;96
20110406;3;15;24;98
20110406;3;16;18;107
20110406;3;17;17;146
20110406;3;18;16;227
20110406;3;19;15;46
20110406;3;20;15;3
20110407;4;7;15;4
20110407;4;8;16;131
20110407;4;9;20;118
20110407;4;10;21;81
20110407;4;11;22;106
20110407;4;12;19;106
20110407;4;13;18;137
20110407;4;14;18;113
20110407;4;15;18;106
20110407;4;16;18;47
20110407;4;17;20;8
20110407;4;18;20;67
20110407;4;19;16;30
20110408;5;7;14;2
20110408;5;8;14;121
20110408;5;9;14;113
20110408;5;10;14;86
20110408;5;11;14;91
20110408;5;12;15;124
20110408;5;13;15;109
20110408;5;14;15;119
20110408;5;15;15;112
20110408;5;16;15;104
20110408;5;17;15;152
20110408;5;18;17;159
20110408;5;19;17;31
20110408;5;22;16;1
20110409;6;8;15;1
20110409;6;9;17;27
20110409;6;10;15;38
20110409;6;11;15;79
20110409;6;12;15;75
20110409;6;13;15;55
20110409;6;14;16;17
20110411;1;7;16;3
20110411;1;8;15;112
20110411;1;9;16;95
20110411;1;10;17;85
20110411;1;11;18;88
20110411;1;12;19;99
20110411;1;13;26;172
20110411;1;14;26;125
20110411;1;15;26;103
20110411;1;16;20;131
20110411;1;17;20;159
20110411;1;18;20;197
20110411;1;19;19;56
20110411;1;20;19;4
20110412;2;7;16;6
20110412;2;8;17;138
20110412;2;9;18;125
20110412;2;10;18;91
20110412;2;11;20;92
20110412;2;12;21;100
20110412;2;13;22;153
20110412;2;14;27;117
20110412;2;15;27;124
20110412;2;16;28;143
20110412;2;17;28;180
20110412;2;18;27;204
20110412;2;19;26;42
20110413;3;7;21;6
20110413;3;8;20;133
20110413;3;9;22;122
20110413;3;10;24;111
20110413;3;11;25;131
20110413;3;12;26;105
20110413;3;13;27;132
20110413;3;14;28;137
20110413;3;15;29;117
20110413;3;16;29;145
20110413;3;17;29;173
20110413;3;18;28;194
20110413;3;19;28;34
20110413;3;20;28;2
20110414;4;7;18;1
20110414;4;8;17;61
20110414;4;9;17;82
20110414;4;10;18;85
20110414;4;11;19;86
20110414;4;12;20;108
20110414;4;13;20;128
20110414;4;14;21;97
20110414;4;15;21;133
20110414;4;16;21;95
20110414;4;17;22;189
20110414;4;18;21;179
20110414;4;19;21;50
20110414;4;20;21;1
20110415;5;7;16;3
20110415;5;8;16;63
20110415;5;9;16;52
20110415;5;10;17;77
20110415;5;11;18;89
20110415;5;12;18;109
20110415;5;13;19;124
20110415;5;14;19;124
20110415;5;15;19;124
20110415;5;16;19;117
20110415;5;17;19;156
20110415;5;18;19;157
20110415;5;19;19;41
20110416;6;8;17;1
20110416;6;9;18;35
20110416;6;10;19;33
20110416;6;11;19;55
20110416;6;12;19;80
20110416;6;13;20;77
20110416;6;14;20;28
20110418;1;7;11;3
20110418;1;8;11;114
20110418;1;9;13;82
20110418;1;10;15;88
20110418;1;11;18;79
20110418;1;12;19;107
20110418;1;13;20;142
20110418;1;14;21;122
20110418;1;15;22;134
20110418;1;16;22;141
20110418;1;17;22;151
20110418;1;18;22;182
20110418;1;19;22;40
20110419;2;7;15;1
20110419;2;8;16;123
20110419;2;9;19;109
20110419;2;10;20;85
20110419;2;11;20;102
20110419;2;12;21;134
20110419;2;13;21;138
20110419;2;14;22;110
20110419;2;15;22;119
20110419;2;16;22;150
20110419;2;17;23;177
20110419;2;18;22;164
20110419;2;19;20;54
20110420;3;8;17;19
20110420;3;9;17;43
20110420;3;10;17;71
20110420;3;11;17;57
20110420;3;12;18;57
20110420;3;13;18;88
20110420;3;14;18;76
20110420;3;15;18;93
20110420;3;16;18;65
20110420;3;17;18;87
20110425;1;7;16;5
20110425;1;8;17;116
20110425;1;9;18;85
20110425;1;10;20;100
20110425;1;11;21;88
20110425;1;12;21;113
20110425;1;13;21;138
20110425;1;14;21;112
20110425;1;15;21;108
20110425;1;16;21;144
20110425;1;17;21;149
20110425;1;18;20;175
20110425;1;19;20;49
20110425;1;20;20;1
20110426;2;7;18;5
20110426;2;8;18;112
20110426;2;9;19;123
20110426;2;10;19;92
20110426;2;11;20;97
20110426;2;12;21;124
20110426;2;13;22;159
20110426;2;14;22;136
20110426;2;15;23;134
20110426;2;16;23;146
20110426;2;17;24;189
20110426;2;18;24;177
20110426;2;19;23;55
20110427;3;7;19;5
20110427;3;8;19;133
20110427;3;9;19;114
20110427;3;10;20;96
20110427;3;11;20;108
20110427;3;12;21;130
20110427;3;13;22;163
20110427;3;14;23;132
20110427;3;15;24;137
20110427;3;16;24;112
20110427;3;17;25;193
20110427;3;18;24;173
20110427;3;19;23;40
20110427;3;20;23;2
20110428;4;7;20;7
20110428;4;8;20;93
20110428;4;9;20;135
20110428;4;10;20;89
20110428;4;11;21;107
20110428;4;12;22;139
20110428;4;13;23;139
20110428;4;14;24;120
20110428;4;15;24;122
20110428;4;16;24;157
20110428;4;17;23;197
20110428;4;18;22;244
20110428;4;19;21;52
20110428;4;20;21;1
20110429;5;7;19;3
20110429;5;8;19;118
20110429;5;9;19;89
20110429;5;10;20;101
20110429;5;11;20;97
20110429;5;12;20;106
20110429;5;13;20;114
20110429;5;14;19;106
20110429;5;15;19;113
20110429;5;16;19;83
20110429;5;17;20;115
20110429;5;18;20;114
20110429;5;19;20;39
20110430;6;9;18;7
20110430;6;10;18;20
20110430;6;11;19;25
20110430;6;12;19;45
20110430;6;13;19;60
20110430;6;14;20;17
20110502;1;7;7;1
20110502;1;8;7;92
20110502;1;9;8;67
20110502;1;10;9;79
20110502;1;11;11;69
20110502;1;12;12;106
20110502;1;13;13;138
20110502;1;14;14;108
20110502;1;15;15;120
20110502;1;16;15;119
20110502;1;17;16;182
20110502;1;18;15;170
20110502;1;19;15;48
20110503;2;7;10;3
20110503;2;8;11;82
20110503;2;9;12;111
20110503;2;10;13;89
20110503;2;11;14;100
20110503;2;12;15;108
20110503;2;13;16;139
20110503;2;14;17;119
20110503;2;15;18;110
20110503;2;16;18;116
20110503;2;17;18;200
20110503;2;18;17;181
20110503;2;19;17;54
20110503;2;20;16;1
20110504;3;7;13;6
20110504;3;8;13;100
20110504;3;9;13;111
20110504;3;10;14;95
20110504;3;11;16;96
20110504;3;12;18;108
20110504;3;13;19;166
20110504;3;14;20;109
20110504;3;15;20;123
20110504;3;16;20;125
20110504;3;17;20;180
20110504;3;18;19;201
20110504;3;19;18;53
20110505;4;7;14;2
20110505;4;8;14;112
20110505;4;9;15;105
20110505;4;10;15;105
20110505;4;11;17;108
20110505;4;12;19;132
20110505;4;13;20;176
20110505;4;14;21;122
20110505;4;15;21;128
20110505;4;16;22;140
20110505;4;17;21;221
20110505;4;18;21;191
20110505;4;19;20;59
20110506;5;7;13;2
20110506;5;8;13;120
20110506;5;9;15;121
20110506;5;10;16;98
20110506;5;11;17;117
20110506;5;12;19;151
20110506;5;13;19;167
20110506;5;14;20;131
20110506;5;15;21;132
20110506;5;16;21;144
20110506;5;17;21;159
20110506;5;18;20;172
20110506;5;19;20;61
20110507;6;9;15;30
20110507;6;10;16;64
20110507;6;11;18;69
20110507;6;12;20;75
