fecha;dia;hora;grados;cantidad
20120102;7;1;23;3
20120102;8;1;24;78
20120102;9;1;25;78
20120102;10;1;26;71
20120102;11;1;28;60
20120102;12;1;29;60
20120102;13;1;31;73
20120102;14;1;32;88
20120102;15;1;33;110
20120102;16;1;33;104
20120102;17;1;32;160
20120102;18;1;32;218
20120102;19;1;31;48
20120103;7;2;20;3
20120103;8;2;21;180
20120103;9;2;23;156
20120103;10;2;24;142
20120103;11;2;25;155
20120103;12;2;27;169
20120103;13;2;27;151
20120103;14;2;27;166
20120103;15;2;27;147
20120103;16;2;25;179
20120103;17;2;25;193
20120103;18;2;25;293
20120103;19;2;24;66
20120104;7;3;22;8
20120104;8;3;23;165
20120104;9;3;24;168
20120104;10;3;25;129
20120104;11;3;25;145
20120104;12;3;25;142
20120104;13;3;26;150
20120104;14;3;27;180
20120104;15;3;28;170
20120104;16;3;28;199
20120104;17;3;28;256
20120104;18;3;28;289
20120104;19;3;28;69
20120104;20;3;27;1
20120105;7;4;25;9
20120105;8;4;25;182
20120105;9;4;26;157
20120105;10;4;27;127
20120105;11;4;29;135
20120105;12;4;30;132
20120105;13;4;31;144
20120105;14;4;31;160
20120105;15;4;32;166
20120105;16;4;32;199
20120105;17;4;32;208
20120105;18;4;32;294
20120105;19;4;32;79
20120106;7;5;27;12
20120106;8;5;29;166
20120106;9;5;30;151
20120106;10;5;32;144
20120106;11;5;32;103
20120106;12;5;33;142
20120106;13;5;34;124
20120106;14;5;35;131
20120106;15;5;36;168
20120106;16;5;31;164
20120106;17;5;29;196
20120106;18;5;28;253
20120106;19;5;27;43
20120107;8;6;23;3
20120107;9;6;24;70
20120107;10;6;25;104
20120107;11;6;25;106
20120107;12;6;25;113
20120107;13;6;26;100
20120107;14;6;27;30
20120109;7;1;26;7
20120109;8;1;27;118
20120109;9;1;27;142
20120109;10;1;29;98
20120109;11;1;30;117
20120109;12;1;31;126
20120109;13;1;33;114
20120109;14;1;33;106
20120109;15;1;34;101
20120109;16;1;34;129
20120109;17;1;35;196
20120109;18;1;34;266
20120109;19;1;34;63
20120110;7;2;28;8
20120110;8;2;29;166
20120110;9;2;30;159
20120110;10;2;31;107
20120110;11;2;32;99
20120110;12;2;33;88
20120110;13;2;34;99
20120110;14;2;33;114
20120110;15;2;32;143
20120110;16;2;30;141
20120110;17;2;29;200
20120110;18;2;28;236
20120110;19;2;28;75
20120111;7;3;24;3
20120111;8;3;24;74
20120111;9;3;24;51
20120111;10;3;24;83
20120111;11;3;25;113
20120111;12;3;26;121
20120111;13;3;27;139
20120111;14;3;27;127
20120111;15;3;26;141
20120111;16;3;26;179
20120111;17;3;26;216
20120111;18;3;26;240
20120111;19;3;25;67
20120112;7;4;20;4
20120112;8;4;22;159
20120112;9;4;23;161
20120112;10;4;24;134
20120112;11;4;24;156
20120112;12;4;25;148
20120112;13;4;26;186
20120112;14;4;26;169
20120112;15;4;26;176
20120112;16;4;26;172
20120112;17;4;25;226
20120112;18;4;24;248
20120112;19;4;23;57
20120112;20;4;23;1
20120113;7;5;21;4
20120113;8;5;22;154
20120113;9;5;23;175
20120113;10;5;24;122
20120113;11;5;24;138
20120113;12;5;24;165
20120113;13;5;25;189
20120113;14;5;25;178
20120113;15;5;25;183
20120113;16;5;25;235
20120113;17;5;25;239
20120113;18;5;24;274
20120113;19;5;24;61
20120114;8;6;22;1
20120114;9;6;24;39
20120114;10;6;24;98
20120114;11;6;24;118
20120114;12;6;25;121
20120114;13;6;25;115
20120114;14;6;26;32
20120114;15;6;26;2
20120116;7;1;25;6
20120116;8;1;26;180
20120116;9;1;27;154
20120116;10;1;29;150
20120116;11;1;30;129
20120116;12;1;31;158
20120116;13;1;32;149
20120116;14;1;32;137
20120116;15;1;32;153
20120116;16;1;32;217
20120116;17;1;32;234
20120116;18;1;32;320
20120116;19;1;30;83
20120116;20;1;29;1
20120117;7;2;26;13
20120117;8;2;26;202
20120117;9;2;27;169
20120117;10;2;28;141
20120117;11;2;29;159
20120117;12;2;29;134
20120117;13;2;30;165
20120117;14;2;30;145
20120117;15;2;30;162
20120117;16;2;30;191
20120117;17;2;30;260
20120117;18;2;29;281
20120117;19;2;28;89
20120117;20;2;27;1
20120118;7;3;24;8
20120118;8;3;25;202
20120118;9;3;25;195
20120118;10;3;26;154
20120118;11;3;27;158
20120118;12;3;28;142
20120118;13;3;29;165
20120118;14;3;30;174
20120118;15;3;31;181
20120118;16;3;31;173
20120118;17;3;30;271
20120118;18;3;30;299
20120118;19;3;29;78
20120119;7;4;25;8
20120119;8;4;26;216
20120119;9;4;27;155
20120119;10;4;29;145
20120119;11;4;30;152
20120119;12;4;31;170
20120119;13;4;31;148
20120119;14;4;31;162
20120119;15;4;31;179
20120119;16;4;31;184
20120119;17;4;31;209
20120119;18;4;31;297
20120119;19;4;31;82
20120120;7;5;27;12
20120120;8;5;28;194
20120120;9;5;29;146
20120120;10;5;30;116
20120120;11;5;31;138
20120120;12;5;32;133
20120120;13;5;33;172
20120120;14;5;34;128
20120120;15;5;33;152
20120120;16;5;33;155
20120120;17;5;32;214
20120120;18;5;31;245
20120120;19;5;30;71
20120120;20;5;29;1
20120121;8;6;28;5
20120121;9;6;28;56
20120121;10;6;28;91
20120121;11;6;29;87
20120121;12;6;30;118
20120121;13;6;30;95
20120121;14;6;31;25
20120123;7;1;24;8
20120123;8;1;25;172
20120123;9;1;26;162
20120123;10;1;27;96
20120123;11;1;28;119
20120123;12;1;28;119
20120123;13;1;28;153
20120123;14;1;28;163
20120123;15;1;28;141
20120123;16;1;28;168
20120123;17;1;28;271
20120123;18;1;27;324
20120123;19;1;26;77
20120124;7;2;22;6
20120124;8;2;23;162
20120124;9;2;24;157
20120124;10;2;25;153
20120124;11;2;25;156
20120124;12;2;25;145
20120124;13;2;26;165
20120124;14;2;28;150
20120124;15;2;28;190
20120124;16;2;27;208
20120124;17;2;27;277
20120124;18;2;27;321
20120124;19;2;27;86
20120124;20;2;23;1
20120125;7;3;18;11
20120125;8;3;18;199
20120125;9;3;20;177
20120125;10;3;21;171
20120125;11;3;22;150
20120125;12;3;22;167
20120125;13;3;23;173
20120125;14;3;23;158
20120125;15;3;24;175
20120125;16;3;24;178
20120125;17;3;23;274
20120125;18;3;23;287
20120125;19;3;22;65
20120125;20;3;22;4
20120126;7;4;22;10
20120126;8;4;23;204
20120126;9;4;24;177
20120126;10;4;23;170
20120126;11;4;24;172
20120126;12;4;25;164
20120126;13;4;24;201
20120126;14;4;25;202
20120126;15;4;25;202
20120126;16;4;25;230
20120126;17;4;25;309
20120126;18;4;25;329
20120126;19;4;24;115
20120126;20;4;24;1
20120127;7;5;23;4
20120127;8;5;23;187
20120127;9;5;24;175
20120127;10;5;25;155
20120127;11;5;26;161
20120127;12;5;26;164
20120127;13;5;27;204
